,bbox,text,conf,time_s,current_frame
54,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.6034872979251006,0.9666666666666667,29
55,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.51,0.9984276293875978,0.9666666666666667,29
56,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.7212102847090849,1.0,30
57,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.50,0.9184260963874595,1.0,30
58,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.49,0.9692605789553059,1.0333333333333334,31
59,"[[12, 8], [36, 8], [36, 32], [12, 32]]",0,0.9998797214437936,1.0666666666666667,32
60,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.48,0.6111273987696353,1.0666666666666667,32
61,"[[12, 8], [36, 8], [36, 34], [12, 34]]",0,0.9999938011265499,1.1,33
62,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.47,0.9518815109348214,1.1,33
63,"[[12, 8], [36, 8], [36, 32], [12, 32]]",0,0.9998579075747784,1.1333333333333333,34
64,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.46,0.6463420522416738,1.1333333333333333,34
65,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.45,0.857133394720401,1.1666666666666667,35
66,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.44,0.8138783432914166,1.2,36
67,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.43,0.5558423198502135,1.2333333333333334,37
68,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.42,0.56375187207865,1.2666666666666666,38
69,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.41,0.9007057574004442,1.3,39
70,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.9999972581882197,1.3333333333333333,40
71,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.40,0.6679354314805169,1.3333333333333333,40
72,"[[152, 6], [176, 6], [176, 34], [152, 34]]",0,0.999978184818989,1.3333333333333333,40
73,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.39,0.5845271909962396,1.3666666666666667,41
74,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.38,0.480688635483379,1.4,42
75,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.37,0.9175779222952101,1.4333333333333333,43
76,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.36,0.5255619604349342,1.4666666666666666,44
77,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.35,0.47314001241421605,1.5,45
78,"[[153, 9], [173, 9], [173, 33], [153, 33]]",0,0.9999951124251005,1.5,45
79,"[[15, 9], [35, 9], [35, 31], [15, 31]]",0,0.9999947547981378,1.5333333333333334,46
80,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.34,0.702479657539443,1.5333333333333334,46
81,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.33,0.5465612883079916,1.5666666666666667,47
82,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.32,0.9684428424554358,1.6,48
83,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.31,0.9582383681072032,1.6333333333333333,49
84,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.30,0.8819894327050111,1.6666666666666667,50
85,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.29,0.5492394007753627,1.7,51
86,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.28,0.5713948947701849,1.7333333333333334,52
87,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.27,0.3746888083591418,1.7666666666666666,53
88,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.26,0.561899881828672,1.8,54
89,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.25,0.7622903780978509,1.8333333333333333,55
90,"[[15, 7], [35, 7], [35, 33], [15, 33]]",0,0.9999762774920704,1.8666666666666667,56
91,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.24,0.8724319383381951,1.8666666666666667,56
92,"[[15, 9], [35, 9], [35, 33], [15, 33]]",0,0.9999908209057686,1.9,57
93,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.23,0.8448745030088191,1.9,57
94,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.22,0.6994726080143338,1.9333333333333333,58
95,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.9999736549205274,1.9666666666666666,59
96,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.21,0.8272565302803659,1.9666666666666666,59
97,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.20,0.912946377029424,2.0,60
98,"[[12, 8], [36, 8], [36, 32], [12, 32]]",0,0.9999210850072728,2.033333333333333,61
99,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:19,0.7490665076940968,2.033333333333333,61
100,"[[12, 8], [36, 8], [36, 34], [12, 34]]",0,0.9999841452273337,2.066666666666667,62
101,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:18,0.822809623372709,2.066666666666667,62
102,"[[12, 8], [36, 8], [36, 34], [12, 34]]",0,0.9999879598979966,2.1,63
103,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:17,0.443199807363125,2.1,63
104,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:16,0.7876585985566594,2.1333333333333333,64
105,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.9999729396743398,2.1666666666666665,65
106,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:15,0.798626674520055,2.1666666666666665,65
107,"[[152, 6], [176, 6], [176, 34], [152, 34]]",0,0.9999916553671397,2.1666666666666665,65
108,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.611134169668851,2.2,66
109,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:14,0.8103927757502284,2.2,66
110,"[[152, 6], [176, 6], [176, 34], [152, 34]]",0,0.9655181467285581,2.2,66
111,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.9999747277902884,2.2333333333333334,67
112,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:13,0.7081696008872986,2.2333333333333334,67
113,"[[152, 6], [176, 6], [176, 34], [152, 34]]",0,0.9893402466186855,2.2333333333333334,67
114,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:12,0.5343657055833662,2.2666666666666666,68
115,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01:11,0.9059493142273092,2.3,69
116,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.763360728793417,2.3333333333333335,70
117,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01:10,0.8135839014954827,2.3333333333333335,70
118,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.09,0.9231558379583324,2.3666666666666667,71
119,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.08,0.81125965786145,2.4,72
120,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.07,0.6551953514421666,2.433333333333333,73
121,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.06,0.9450253893694303,2.466666666666667,74
122,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.05,0.955583785599492,2.5,75
123,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.04,0.6601900408527478,2.533333333333333,76
124,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.03,0.7176947708751962,2.566666666666667,77
125,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.02,0.7522783560583695,2.6,78
126,"[[60, 8], [126, 8], [126, 34], [60, 34]]",01.01,0.6319778119281807,2.6333333333333333,79
127,"[[60, 8], [128, 8], [128, 34], [60, 34]]",01.00,0.9063956314775332,2.6666666666666665,80
128,"[[12, 6], [36, 6], [36, 34], [12, 34]]",0,0.9999681713729593,2.7,81
129,"[[60, 8], [128, 8], [128, 34], [60, 34]]",00.59,0.830061056999129,2.7,81
