,frame,time_s,active_player,helper_player,passive_player,left_score,time_score,right_score
0,2029,67.63333333333334,zlewis,,nia,6,00:34,11
0,2043,68.1,ww fANT1M,,Jumper,6,00:20,11
0,2047,68.23333333333333,Jumper,,v1ZUAL,6,00:16,11
0,2127,70.9,Jumper,,cosmos,7,01:14,11
0,2130,71.0,nia,,N1taro,7,01:11,11
0,2137,71.23333333333333,nia,,darzyy,7,01:04,11
0,2137,71.23333333333333,Jumper,ww fANT1M,zlewis,7,01:04,11
0,2222,74.06666666666666,packoo,,cosmos,8,01:19,11
0,2277,75.9,v1ZUAL,,Jumper,8,00:24,11
0,2278,75.93333333333334,nia,,darzyy,8,00:23,11
0,2339,77.96666666666667,packoo,,N1taro,9,01:53,11
0,2344,78.13333333333334,packoo,,cosmos,9,01:48,11
0,2345,78.16666666666667,zlewis,,nia,9,01:47,11
0,2401,80.03333333333333,packoo,,zlewis,9,00:51,11
0,2405,80.16666666666667,darzyy,,cLouding,9,00:47,11
0,2405,80.16666666666667,cLouding,,Jumper,9,00:47,11
0,2406,80.2,Jumper,,cLouding,9,00:46,11
0,2406,80.2,cLouding,Jumper,darzyy,9,00:46,11
0,2500,83.33333333333333,N1taro,,v1ZUAL,10,01:05,11
0,2501,83.36666666666666,v1ZUAL,,nia,10,01:04,11
0,2526,84.2,cLouding,,ww fANT1M,10,00:39,11
0,2531,84.36666666666666,darzyy,,packoo,10,00:46,11
0,2542,84.73333333333333,cosmos,,cLouding,10,00:38,12
0,2579,85.96666666666667,cosmos,,Jumper,10,01:53,12
0,2615,87.16666666666667,N1taro,,ww fANT1M,10,01:17,12
0,2621,87.36666666666666,nia,,cosmos,10,01:11,12
0,2624,87.46666666666667,nia,,N1taro,10,01:08,12
0,2677,89.23333333333333,packoo,,darzyy,10,00:15,12
0,2682,89.4,cLouding,,v1ZUAL,10,00:10,12
0,2689,89.63333333333334,zlewis,,cLouding,10,00:03,13
